bm,bzw,zs,gxsj
b_dxpt_mdjfyj,短信平台-矛盾纠纷预警电话号码表,202,22:17.8
b_evt_jjzdbczjajxx,交警集指飙车炸街案件信息,15825,22:17.8
b_item_ddzxcdjxxb,Y电动自行车登记信息表,388420,22:17.8
b_jq_xjzd,Y110警情数据,138046,22:17.8
b_org_fjjssgy,废旧金属收购业,549,22:17.8
b_org_yfcsqd,Y场所清单（工商提供）,5052,22:17.8
b_per_bfxry,不放心人员,3052,22:17.8
b_per_czcsjcyry_jtj,出租车司机从业人员_交通局,7161,22:17.8
b_per_dqqkrygj,盗窃前科人员轨迹,317858,22:17.8
b_per_jsrbhzjlb_jg,驾驶人补换证记录表,0,22:17.8
b_per_jszdjxxb_jg,驾驶证登记信息表,0,22:17.8
b_per_jszdjywlsb_jg,驾驶证登记业务流水表,0,22:17.8
b_per_qsbczj_jj,全市飙车炸街人员信息_交警,318,22:17.8
b_per_qscxwcnr,全市辍学未成人,1921,22:17.8
b_per_qskjwcnr,全市困境未成年人（民政）,18812,22:17.8
b_per_qslswcnr,全市留守未成年人,36659,22:17.8
b_per_qswcnrbczj,全市未成年人飙车炸街信息_交警,300,22:17.8
b_per_qsyzjszawcnr,全市严重精神障碍未成年人（卫健）,302,22:17.8
b_per_qszljscjwcnr,智力（精神）残疾未成年人（市残联）,3031,22:17.8
b_per_wyccljbxx,网约车车辆基本信息_交通局,2073,22:17.8
b_per_yfsjyjblxwwcnr,Y市不良行为未成年人（教育局提供）,2325,22:17.8
b_yfszxxxsxx,Y市中小学学生信息,433945,22:17.8
b_zzjgdm,组织机构代码表,2247,22:17.8
case_type_config,警情案件类型映射表,14,22:17.8
drivinglicense,驾驶证登记信息表,1248673,22:17.8
drv_exchange,驾驶人补换证记录表,2283331,22:17.8
drv_flow,驾驶证登记业务流水表,2869055,22:17.8
jcgkzx_permission,基础管控中心-权限表,19,22:17.8
jcgkzx_user,基础管控中心-用户表,6,22:17.8
person,驾驶人基本信息,1667371,22:17.8
sh_fzxxsj_xx,方正学校送矫治学校信息表(交警支队),152,22:17.8
sh_gd_csdbdx_xx,X省城市低保对象信息(一网共享平台),5293,22:17.8
sh_gd_dbbyjt_xx,X省低保边缘家庭信息（一网共享）,15516,22:17.8
sh_gd_jyfxry_xx,X省监狱服刑人员在押状态（一网共享）,191864,22:17.8
sh_gd_jyknry_xx,X省就业困难人员认定数据,10632,22:17.8
sh_gd_yeyxsxj_xx,X省幼儿园学生学籍信息(一网共享平台),220242,22:17.8
sh_gd_zxxxsxj_xx,X省中小学学生学籍信息(一网共享平台),547217,22:17.8
sh_st_hhjl_xx,X省火化记录信息,5231142,22:17.8
sh_yf_12345gd_xx,12345工单,898227,22:17.8
sh_yf_12345jbtsyh_xx,12345投诉举报用户信息,651602,22:17.8
sh_yf_123gd_xx,Y12345工单信息,778749,22:17.8
sh_yf_bdcxx_xx,Y市不动产信息表（自然资源局）,1268314,22:17.8
